Date,Month,Day,CasesTotal,DeathsTotal,HospitalizationsTotal,CasesAge 017,CasesAge 1829,CasesAge 3039,CasesAge 4049,CasesAge 5059,CasesAge 6069,CasesAge 7079,CasesAge 80plus,CasesAge Unknown,Cases Female,Cases Male,Cases Unknown Gender,CasesLatinx,CasesAsianNonLatinx,CasesBlackNonLatinx,CasesWhiteNonLatinx,CasesOtherRaceNonLatinx,CasesUnknownRaceEthnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,DeathsLatinx,DeathsAsianNonLatinx,DeathsBlackNonLatinx,DeathsWhiteNonLatinx,DeathsOtherRaceNonLatinx,DeathsUnknownRaceEthnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,HospitalizationsLatinx,HospitalizationsAsianNonLatinx,HospitalizationsBlackNonLatinx,HospitalizationsWhiteNonLatinx,HospitalizationsOtherRaceNonLatinx,HospitalizationsUnknownRaceEthnicity
04/18/2020,4,18,535,39,163,12,89,101,96,90,81,44,22,0,244,286,5,179,17,161,60,21,97,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,1,7,17,19,36,39,27,17,0,61,102,0,53,4,74,22,8,2
07/25/2020,7,25,160,8,16,29,36,34,25,16,8,9,3,0,82,78,0,58,7,35,32,9,19,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,3,1,4,3,2,0,9,7,0,2,0,9,4,1,0
08/04/2020,8,4,367,2,27,48,105,68,56,38,31,17,4,0,199,164,4,170,10,69,60,15,43,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,4,2,4,2,7,6,2,0,15,12,0,7,3,13,4,0,0
04/26/2020,4,26,434,51,127,13,84,54,96,66,57,32,32,0,229,202,3,150,17,90,60,22,95,0,1,0,4,3,13,11,19,0,22,29,0,18,2,23,8,0,0,0,12,5,22,21,28,19,20,0,56,71,0,54,3,34,25,10,1
08/23/2020,8,23,113,1,19,9,35,13,20,15,11,8,2,0,59,54,0,37,1,23,35,5,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2,4,2,3,3,1,0,6,13,0,7,0,6,4,1,1
05/14/2020,5,14,776,45,99,49,168,152,132,107,95,43,30,0,396,368,12,328,13,161,71,34,169,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,2,5,5,13,9,34,19,12,0,43,56,0,37,1,39,15,4,3
08/05/2020,8,5,378,4,13,45,115,82,53,33,32,14,4,0,186,190,2,170,3,84,71,12,38,0,0,0,1,0,2,1,0,0,0,4,0,3,0,1,0,0,0,0,0,0,1,4,1,3,4,0,7,6,0,2,0,8,3,0,0
09/22/2020,9,22,326,1,15,39,98,65,47,33,21,12,11,0,159,161,6,138,7,41,53,9,78,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2,0,2,3,3,2,0,6,9,0,6,0,6,1,2,0
09/01/2020,9,1,330,3,11,33,97,71,38,45,32,8,6,0,178,152,0,127,4,54,77,7,61,0,0,0,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,1,1,4,1,1,1,2,0,4,7,0,3,0,5,2,1,0
08/11/2020,8,11,384,4,15,47,102,73,67,48,37,7,3,0,182,200,2,160,4,74,77,16,53,0,0,0,0,1,0,1,2,0,1,3,0,1,1,2,0,0,0,0,0,2,0,3,6,1,3,0,10,5,0,2,0,7,6,0,0
09/27/2020,9,27,1,0,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
